PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33088156","Application of artificial intelligence in the diagnosis and treatment of hepatocellular carcinoma: A review","Jiménez Pérez M, Grande RG.","World J Gastroenterol. 2020 Oct 7;26(37):5617-5628. doi: 10.3748/wjg.v26.i37.5617.","Jiménez Pérez M","World J Gastroenterol","2020","2020/10/22","PMC7545389","","10.3748/wjg.v26.i37.5617"
"34712399","Applied machine learning in cancer research: A systematic review for patient diagnosis, classification and prognosis","Kourou K, Exarchos KP, Papaloukas C, Sakaloglou P, Exarchos T, Fotiadis DI.","Comput Struct Biotechnol J. 2021 Oct 6;19:5546-5555. doi: 10.1016/j.csbj.2021.10.006. eCollection 2021.","Kourou K","Comput Struct Biotechnol J","2021","2021/10/29","PMC8523813","","10.1016/j.csbj.2021.10.006"
"33733193","The Next Generation of Medical Decision Support: A Roadmap Toward Transparent Expert Companions","Bruckert S, Finzel B, Schmid U.","Front Artif Intell. 2020 Sep 24;3:507973. doi: 10.3389/frai.2020.507973. eCollection 2020.","Bruckert S","Front Artif Intell","2020","2021/03/18","PMC7861251","","10.3389/frai.2020.507973"
"32061795","Machine learning in the clinical microbiology laboratory: has the time come for routine practice?","Peiffer-Smadja N, Dellière S, Rodriguez C, Birgand G, Lescure FX, Fourati S, Ruppé E.","Clin Microbiol Infect. 2020 Oct;26(10):1300-1309. doi: 10.1016/j.cmi.2020.02.006. Epub 2020 Feb 12.","Peiffer-Smadja N","Clin Microbiol Infect","2020","2020/02/17","","","10.1016/j.cmi.2020.02.006"
"33001058","Artificial intelligence and cardiovascular imaging: A win-win combination","Badano LP, Keller DM, Muraru D, Torlasco C, Parati G.","Anatol J Cardiol. 2020 Oct;24(4):214-223. doi: 10.14744/AnatolJCardiol.2020.94491.","Badano LP","Anatol J Cardiol","2020","2020/10/01","PMC7585956","","10.14744/AnatolJCardiol.2020.94491"
"34966640","What is Interpretability?","Erasmus A, Brunet TDP, Fisher E.","Philos Technol. 2021;34(4):833-862. doi: 10.1007/s13347-020-00435-2. Epub 2020 Nov 12.","Erasmus A","Philos Technol","2021","2021/12/30","PMC8654716","","10.1007/s13347-020-00435-2"
"33059823","Multimodality Imaging and Artificial Intelligence for Tumor Characterization: Current Status and Future Perspective","Dana J, Agnus V, Ouhmich F, Gallix B.","Semin Nucl Med. 2020 Nov;50(6):541-548. doi: 10.1053/j.semnuclmed.2020.07.003. Epub 2020 Aug 2.","Dana J","Semin Nucl Med","2020","2020/10/16","","","10.1053/j.semnuclmed.2020.07.003"
"34618208","[Artificial intelligence-supported treatment in rheumatology : Principles, current situation and perspectives]","Hügle T, Kalweit M.","Z Rheumatol. 2021 Dec;80(10):914-927. doi: 10.1007/s00393-021-01096-y. Epub 2021 Oct 7.","Hügle T","Z Rheumatol","2021","2021/10/07","PMC8651581","","10.1007/s00393-021-01096-y"
"34930452","Machine learning and deep learning predictive models for type 2 diabetes: a systematic review","Fregoso-Aparicio L, Noguez J, Montesinos L, García-García JA.","Diabetol Metab Syndr. 2021 Dec 20;13(1):148. doi: 10.1186/s13098-021-00767-9.","Fregoso-Aparicio L","Diabetol Metab Syndr","2021","2021/12/21","PMC8686642","","10.1186/s13098-021-00767-9"
"31079952","Putting machine learning into motion: applications in cardiovascular imaging","O'Regan DP.","Clin Radiol. 2020 Jan;75(1):33-37. doi: 10.1016/j.crad.2019.04.008. Epub 2019 May 9.","O'Regan DP","Clin Radiol","2020","2019/05/14","","","10.1016/j.crad.2019.04.008"
"32777930","Artificial Intelligence in plastic surgery: What is it? Where are we now? What is on the horizon?","Murphy DC, Saleh DB.","Ann R Coll Surg Engl. 2020 Oct;102(8):577-580. doi: 10.1308/rcsann.2020.0158. Epub 2020 Aug 11.","Murphy DC","Ann R Coll Surg Engl","2020","2020/08/12","PMC7538735","","10.1308/rcsann.2020.0158"
"34664088","The augmented radiologist: artificial intelligence in the practice of radiology","Sorantin E, Grasser MG, Hemmelmayr A, Tschauner S, Hrzic F, Weiss V, Lacekova J, Holzinger A.","Pediatr Radiol. 2021 Oct 19. doi: 10.1007/s00247-021-05177-7. Online ahead of print.","Sorantin E","Pediatr Radiol","2021","2021/10/19","","","10.1007/s00247-021-05177-7"
"34708734","Using artificial intelligence for diabetic retinopathy screening: Policy implications","Raman R, Dasgupta D, Ramasamy K, George R, Mohan V, Ting D.","Indian J Ophthalmol. 2021 Nov;69(11):2993-2998. doi: 10.4103/ijo.IJO_1420_21.","Raman R","Indian J Ophthalmol","2021","2021/10/28","PMC8725146","","10.4103/ijo.IJO_1420_21"
"33442551","Artificial Intelligence in Medicine: Chances and Challenges for Wide Clinical Adoption","Varghese J.","Visc Med. 2020 Dec;36(6):443-449. doi: 10.1159/000511930. Epub 2020 Oct 12.","Varghese J","Visc Med","2020","2021/01/14","PMC7768160","","10.1159/000511930"
"33248809","Deep learning for the prediction of treatment response in depression","Squarcina L, Villa FM, Nobile M, Grisan E, Brambilla P.","J Affect Disord. 2021 Feb 15;281:618-622. doi: 10.1016/j.jad.2020.11.104. Epub 2020 Nov 17.","Squarcina L","J Affect Disord","2021","2020/11/29","","","10.1016/j.jad.2020.11.104"
"34201827","Towards Clinical Application of Artificial Intelligence in Ultrasound Imaging","Komatsu M, Sakai A, Dozen A, Shozu K, Yasutomi S, Machino H, Asada K, Kaneko S, Hamamoto R.","Biomedicines. 2021 Jun 23;9(7):720. doi: 10.3390/biomedicines9070720.","Komatsu M","Biomedicines","2021","2021/07/02","PMC8301304","","10.3390/biomedicines9070720"
"33662856","AI applications to medical images: From machine learning to deep learning","Castiglioni I, Rundo L, Codari M, Di Leo G, Salvatore C, Interlenghi M, Gallivanone F, Cozzi A, D'Amico NC, Sardanelli F.","Phys Med. 2021 Mar;83:9-24. doi: 10.1016/j.ejmp.2021.02.006. Epub 2021 Mar 1.","Castiglioni I","Phys Med","2021","2021/03/04","","","10.1016/j.ejmp.2021.02.006"
"33912213","Intelligent Health Care: Applications of Deep Learning in Computational Medicine","Yang S, Zhu F, Ling X, Liu Q, Zhao P.","Front Genet. 2021 Apr 12;12:607471. doi: 10.3389/fgene.2021.607471. eCollection 2021.","Yang S","Front Genet","2021","2021/04/29","PMC8075004","","10.3389/fgene.2021.607471"
"32061798","Machine learning in infection management using routine electronic health records: tools, techniques, and reporting of future technologies","Luz CF, Vollmer M, Decruyenaere J, Nijsten MW, Glasner C, Sinha B.","Clin Microbiol Infect. 2020 Oct;26(10):1291-1299. doi: 10.1016/j.cmi.2020.02.003. Epub 2020 Feb 13.","Luz CF","Clin Microbiol Infect","2020","2020/02/17","","","10.1016/j.cmi.2020.02.003"
"30770893","Deep neural networks in psychiatry","Durstewitz D, Koppe G, Meyer-Lindenberg A.","Mol Psychiatry. 2019 Nov;24(11):1583-1598. doi: 10.1038/s41380-019-0365-9. Epub 2019 Feb 15.","Durstewitz D","Mol Psychiatry","2019","2019/02/17","","","10.1038/s41380-019-0365-9"
"31811324","[A primer on machine learning]","Kleesiek J, Murray JM, Strack C, Kaissis G, Braren R.","Radiologe. 2020 Jan;60(1):24-31. doi: 10.1007/s00117-019-00616-x.","Kleesiek J","Radiologe","2020","2019/12/08","","","10.1007/s00117-019-00616-x"
"33340123","Promises and perils of artificial intelligence in dentistry","Pethani F.","Aust Dent J. 2021 Jun;66(2):124-135. doi: 10.1111/adj.12812. Epub 2021 Jan 17.","Pethani F","Aust Dent J","2021","2020/12/19","","","10.1111/adj.12812"
"31144777","Operational framework and training standard requirements for AI-empowered robotic surgery","O'Sullivan S, Leonard S, Holzinger A, Allen C, Battaglia F, Nevejans N, van Leeuwen FWB, Sajid MI, Friebe M, Ashrafian H, Heinsen H, Wichmann D, Hartnett M, Gallagher AG.","Int J Med Robot. 2020 Oct;16(5):1-13. doi: 10.1002/rcs.2020. Epub 2020 Jun 8.","O'Sullivan S","Int J Med Robot","2020","2019/05/31","","","10.1002/rcs.2020"
"34579788","Deep learning in cancer diagnosis, prognosis and treatment selection","Tran KA, Kondrashova O, Bradley A, Williams ED, Pearson JV, Waddell N.","Genome Med. 2021 Sep 27;13(1):152. doi: 10.1186/s13073-021-00968-x.","Tran KA","Genome Med","2021","2021/09/28","PMC8477474","","10.1186/s13073-021-00968-x"
"35037736","Explainable deep learning in healthcare: A methodological survey from an attribution view","Jin D, Sergeeva E, Weng WH, Chauhan G, Szolovits P.","WIREs Mech Dis. 2022 Jan 17:e1548. doi: 10.1002/wsbm.1548. Online ahead of print.","Jin D","WIREs Mech Dis","2022","2022/01/17","","","10.1002/wsbm.1548"
"32510054","On the Interpretability of Artificial Intelligence in Radiology: Challenges and Opportunities","Reyes M, Meier R, Pereira S, Silva CA, Dahlweid FM, von Tengg-Kobligk H, Summers RM, Wiest R.","Radiol Artif Intell. 2020 May 27;2(3):e190043. doi: 10.1148/ryai.2020190043.","Reyes M","Radiol Artif Intell","2020","2020/06/09","PMC7259808","","10.1148/ryai.2020190043"
"34960517","Wearable Devices, Smartphones, and Interpretable Artificial Intelligence in Combating COVID-19","Hijazi H, Abu Talib M, Hasasneh A, Bou Nassif A, Ahmed N, Nasir Q.","Sensors (Basel). 2021 Dec 17;21(24):8424. doi: 10.3390/s21248424.","Hijazi H","Sensors (Basel)","2021","2021/12/28","PMC8709136","","10.3390/s21248424"
"33680353","Machine learning applications in microbial ecology, human microbiome studies, and environmental monitoring","Ghannam RB, Techtmann SM.","Comput Struct Biotechnol J. 2021 Jan 27;19:1092-1107. doi: 10.1016/j.csbj.2021.01.028. eCollection 2021.","Ghannam RB","Comput Struct Biotechnol J","2021","2021/03/08","PMC7892807","","10.1016/j.csbj.2021.01.028"
"32769696","Controversies in artificial intelligence","Liu TYA, Bressler NM.","Curr Opin Ophthalmol. 2020 Sep;31(5):324-328. doi: 10.1097/ICU.0000000000000694.","Liu TYA","Curr Opin Ophthalmol","2020","2020/08/10","","","10.1097/ICU.0000000000000694"
"34090555","Artificial Intelligence, Machine Learning, and Medicine: A Little Background Goes a Long Way Toward Understanding","Cote MP, Lubowitz JH, Brand JC, Rossi MJ.","Arthroscopy. 2021 Jun;37(6):1699-1702. doi: 10.1016/j.arthro.2021.04.022.","Cote MP","Arthroscopy","2021","2021/06/06","","","10.1016/j.arthro.2021.04.022"
"32089788","Causability and explainability of artificial intelligence in medicine","Holzinger A, Langs G, Denk H, Zatloukal K, Müller H.","Wiley Interdiscip Rev Data Min Knowl Discov. 2019 Jul-Aug;9(4):e1312. doi: 10.1002/widm.1312. Epub 2019 Apr 2.","Holzinger A","Wiley Interdiscip Rev Data Min Knowl Discov","2019","2020/02/25","PMC7017860","","10.1002/widm.1312"
"35013580","High-dimensional role of AI and machine learning in cancer research","Capobianco E.","Br J Cancer. 2022 Mar;126(4):523-532. doi: 10.1038/s41416-021-01689-z. Epub 2022 Jan 10.","Capobianco E","Br J Cancer","2022","2022/01/11","PMC8854697","","10.1038/s41416-021-01689-z"
"35135685","Machine learning and artificial intelligence in research and healthcare(✰,✰✰)","Rubinger L, Gazendam A, Ekhtiari S, Bhandari M.","Injury. 2022 Feb 1:S0020-1383(22)00076-6. doi: 10.1016/j.injury.2022.01.046. Online ahead of print.","Rubinger L","Injury","2022","2022/02/09","","","10.1016/j.injury.2022.01.046"
"34451513","Artificial Intelligence in Surveillance, Diagnosis, Drug Discovery and Vaccine Development against COVID-19","Arora G, Joshi J, Mandal RS, Shrivastava N, Virmani R, Sethi T.","Pathogens. 2021 Aug 18;10(8):1048. doi: 10.3390/pathogens10081048.","Arora G","Pathogens","2021","2021/08/28","PMC8399076","","10.3390/pathogens10081048"
"34927670","Artificial intelligence, machine learning, and deep learning for clinical outcome prediction","Pettit RW, Fullem R, Cheng C, Amos CI.","Emerg Top Life Sci. 2021 Dec 20;5(6):729-45. doi: 10.1042/ETLS20210246. Online ahead of print.","Pettit RW","Emerg Top Life Sci","2021","2021/12/20","PMC8786279","","10.1042/ETLS20210246"
"31996705","Combining deep learning with token selection for patient phenotyping from electronic health records","Yang Z, Dehmer M, Yli-Harja O, Emmert-Streib F.","Sci Rep. 2020 Jan 29;10(1):1432. doi: 10.1038/s41598-020-58178-1.","Yang Z","Sci Rep","2020","2020/01/31","PMC6989657","","10.1038/s41598-020-58178-1"
"32658725","Opportunities and challenges of deep learning methods for electrocardiogram data: A systematic review","Hong S, Zhou Y, Shang J, Xiao C, Sun J.","Comput Biol Med. 2020 Jul;122:103801. doi: 10.1016/j.compbiomed.2020.103801. Epub 2020 Jun 7.","Hong S","Comput Biol Med","2020","2020/07/14","","","10.1016/j.compbiomed.2020.103801"
"35020154","Application of machine learning in liver transplantation: a review","Tran J, Sharma D, Gotlieb N, Xu W, Bhat M.","Hepatol Int. 2022 Jan 12. doi: 10.1007/s12072-021-10291-7. Online ahead of print.","Tran J","Hepatol Int","2022","2022/01/12","","","10.1007/s12072-021-10291-7"
"33196445","Gaining Insights Into Patient Satisfaction Through Interpretable Machine Learning","Liu N, Kumara S, Reich E.","IEEE J Biomed Health Inform. 2021 Jun;25(6):2215-2226. doi: 10.1109/JBHI.2020.3038194. Epub 2021 Jun 3.","Liu N","IEEE J Biomed Health Inform","2021","2020/11/16","","","10.1109/JBHI.2020.3038194"
"34544924","Deep Learning and Its Application to Function Approximation for MR in Medicine: An Overview","Takeshima H.","Magn Reson Med Sci. 2021 Sep 17. doi: 10.2463/mrms.rev.2021-0040. Online ahead of print.","Takeshima H","Magn Reson Med Sci","2021","2021/09/21","","","10.2463/mrms.rev.2021-0040"
"34809860","Trustworthy Artificial Intelligence in Medical Imaging","Hasani N, Morris MA, Rhamim A, Summers RM, Jones E, Siegel E, Saboury B.","PET Clin. 2022 Jan;17(1):1-12. doi: 10.1016/j.cpet.2021.09.007.","Hasani N","PET Clin","2022","2021/11/23","PMC8785402","NIHMS1767836","10.1016/j.cpet.2021.09.007"
"32655135","Future possibilities for artificial intelligence in the practical management of hypertension","Koshimizu H, Kojima R, Okuno Y.","Hypertens Res. 2020 Dec;43(12):1327-1337. doi: 10.1038/s41440-020-0498-x. Epub 2020 Jul 13.","Koshimizu H","Hypertens Res","2020","2020/07/14","","","10.1038/s41440-020-0498-x"
"34957230","Implementing Machine Learning in Interventional Cardiology: The Benefits Are Worth the Trouble","Ben Ali W, Pesaranghader A, Avram R, Overtchouk P, Perrin N, Laffite S, Cartier R, Ibrahim R, Modine T, Hussin JG.","Front Cardiovasc Med. 2021 Dec 8;8:711401. doi: 10.3389/fcvm.2021.711401. eCollection 2021.","Ben Ali W","Front Cardiovasc Med","2021","2021/12/27","PMC8692711","","10.3389/fcvm.2021.711401"
"33352690","Addressing Noise and Skewness in Interpretable Health-Condition Assessment by Learning Model Confidence","Zhou Y, Hong S, Shang J, Wu M, Wang Q, Li H, Xie J.","Sensors (Basel). 2020 Dec 19;20(24):7307. doi: 10.3390/s20247307.","Zhou Y","Sensors (Basel)","2020","2020/12/23","PMC7765787","","10.3390/s20247307"
"34231530","Applications of interpretability in deep learning models for ophthalmology","Hanif AM, Beqiri S, Keane PA, Campbell JP.","Curr Opin Ophthalmol. 2021 Sep 1;32(5):452-458. doi: 10.1097/ICU.0000000000000780.","Hanif AM","Curr Opin Ophthalmol","2021","2021/07/07","PMC8373813","NIHMS1718440","10.1097/ICU.0000000000000780"
"33990172","Artificial intelligence: A rapid case for advancement in the personalization of Gynaecology/Obstetric and Mental Health care","Delanerolle G, Yang X, Shetty S, Raymont V, Shetty A, Phiri P, Hapangama DK, Tempest N, Majumder K, Shi JQ.","Womens Health (Lond). 2021 Jan-Dec;17:17455065211018111. doi: 10.1177/17455065211018111.","Delanerolle G","Womens Health (Lond)","2021","2021/05/15","PMC8127586","","10.1177/17455065211018111"
"34711379","The false hope of current approaches to explainable artificial intelligence in health care","Ghassemi M, Oakden-Rayner L, Beam AL.","Lancet Digit Health. 2021 Nov;3(11):e745-e750. doi: 10.1016/S2589-7500(21)00208-9.","Ghassemi M","Lancet Digit Health","2021","2021/10/29","","","10.1016/S2589-7500(21)00208-9"
"33712806","Applications of artificial intelligence in cardiovascular imaging","Sermesant M, Delingette H, Cochet H, Jaïs P, Ayache N.","Nat Rev Cardiol. 2021 Aug;18(8):600-609. doi: 10.1038/s41569-021-00527-2. Epub 2021 Mar 12.","Sermesant M","Nat Rev Cardiol","2021","2021/03/13","","","10.1038/s41569-021-00527-2"
"32285012","Personalized predictions of patient outcomes during and after hospitalization using artificial intelligence","Hilton CB, Milinovich A, Felix C, Vakharia N, Crone T, Donovan C, Proctor A, Nazha A.","NPJ Digit Med. 2020 Apr 3;3:51. doi: 10.1038/s41746-020-0249-z. eCollection 2020.","Hilton CB","NPJ Digit Med","2020","2020/04/15","PMC7125114","","10.1038/s41746-020-0249-z"
"33259944","A review on deep learning approaches in healthcare systems: Taxonomies, challenges, and open issues","Shamshirband S, Fathi M, Dehzangi A, Chronopoulos AT, Alinejad-Rokny H.","J Biomed Inform. 2021 Jan;113:103627. doi: 10.1016/j.jbi.2020.103627. Epub 2020 Nov 28.","Shamshirband S","J Biomed Inform","2021","2020/12/01","","","10.1016/j.jbi.2020.103627"
"33961681","MGP-AttTCN: An interpretable machine learning model for the prediction of sepsis","Rosnati M, Fortuin V.","PLoS One. 2021 May 7;16(5):e0251248. doi: 10.1371/journal.pone.0251248. eCollection 2021.","Rosnati M","PLoS One","2021","2021/05/07","PMC8104377","","10.1371/journal.pone.0251248"
"35190824","Defining AMIA's artificial intelligence principles","Solomonides AE, Koski E, Atabaki SM, Weinberg S, McGreevey JD, Kannry JL, Petersen C, Lehmann CU.","J Am Med Inform Assoc. 2021 Nov 2:ocac006. doi: 10.1093/jamia/ocac006. Online ahead of print.","Solomonides AE","J Am Med Inform Assoc","2021","2022/02/22","","","10.1093/jamia/ocac006"
"33733218","Prognostics and Health Management of Industrial Assets: Current Progress and Road Ahead","Biggio L, Kastanis I.","Front Artif Intell. 2020 Nov 9;3:578613. doi: 10.3389/frai.2020.578613. eCollection 2020.","Biggio L","Front Artif Intell","2020","2021/03/18","PMC7861342","","10.3389/frai.2020.578613"
